time,value
2021-06-27 14:11:52.646010+00:00,0.3440987544
2021-06-27 14:11:52.665755+00:00,0.3415165349
2021-06-27 14:11:52.685982+00:00,0.338884539
2021-06-27 14:11:52.705745+00:00,0.3384151285
2021-06-27 14:11:52.725453+00:00,0.3458093521
2021-06-27 14:11:52.745194+00:00,0.3492360543
2021-06-27 14:11:52.764724+00:00,0.3467569956
2021-06-27 14:11:52.784288+00:00,0.338478368
2021-06-27 14:11:52.803832+00:00,0.3430012
2021-06-27 14:11:52.823378+00:00,0.3501161807
2021-06-27 14:11:52.842944+00:00,0.3444870053
2021-06-27 14:11:52.862474+00:00,0.3478060437
2021-06-27 14:11:52.882046+00:00,0.3536526086
2021-06-27 14:11:52.901629+00:00,0.3523839213
2021-06-27 14:11:52.921129+00:00,0.3561673466
2021-06-27 14:11:52.940670+00:00,0.3559238093
2021-06-27 14:11:52.960235+00:00,0.3612074612
2021-06-27 14:11:52.980026+00:00,0.3527409673
2021-06-27 14:11:52.999531+00:00,0.3574513931
2021-06-27 14:11:53.019122+00:00,0.3643314068
2021-06-27 14:11:53.038655+00:00,0.3555321707
2021-06-27 14:11:53.058196+00:00,0.3600970641
2021-06-27 14:11:53.078184+00:00,0.3534377292
2021-06-27 14:11:53.098013+00:00,0.3515132925
2021-06-27 14:11:53.117779+00:00,0.3520584985
2021-06-27 14:11:53.137249+00:00,0.3670626731
2021-06-27 14:11:53.158107+00:00,0.3533997957
2021-06-27 14:11:53.178142+00:00,0.3520628688
2021-06-27 14:11:53.197521+00:00,0.3652169887
2021-06-27 14:11:53.217040+00:00,0.3643018979
2021-06-27 14:11:53.236713+00:00,0.3591394325
2021-06-27 14:11:53.256268+00:00,0.3622687676
2021-06-27 14:11:53.275813+00:00,0.3656957309
2021-06-27 14:11:53.295357+00:00,0.3694677718
2021-06-27 14:11:53.314906+00:00,0.3700442065
2021-06-27 14:11:53.334453+00:00,0.363805321
2021-06-27 14:11:53.354039+00:00,0.3584579094
2021-06-27 14:11:53.373620+00:00,0.366491309
2021-06-27 14:11:53.393133+00:00,0.3628977966
2021-06-27 14:11:53.412674+00:00,0.3573746466
